date,Netflix,Spotify,cinema,festival tickets,streaming
2021-03-21,63,14,6,1,8
2021-03-28,65,15,7,0,7
2021-04-04,76,14,7,0,8
2021-04-11,54,16,8,0,7
2021-04-18,54,15,9,0,6
2021-04-25,56,17,10,0,7
2021-05-02,59,13,12,0,6
2021-05-09,56,14,19,0,5
2021-05-16,57,14,48,0,5
2021-05-23,53,15,49,0,6
2021-05-30,53,18,52,0,5
2021-06-06,50,15,38,0,5
2021-06-13,45,13,35,0,6
2021-06-20,55,14,43,0,6
2021-06-27,53,13,39,0,5
2021-07-04,53,14,42,1,6
2021-07-11,53,14,35,1,7
2021-07-18,50,14,38,1,6
2021-07-25,57,15,56,1,6
2021-08-01,56,13,56,1,6
2021-08-08,55,13,52,1,7
2021-08-15,57,13,57,1,7
2021-08-22,55,13,46,2,6
2021-08-29,61,15,47,2,6
2021-09-05,49,14,37,1,7
2021-09-12,49,15,37,1,6
2021-09-19,55,14,41,1,7
2021-09-26,61,14,71,1,6
2021-10-03,66,14,70,0,6
2021-10-10,64,14,67,0,6
2021-10-17,67,15,66,0,7
2021-10-24,63,14,76,0,10
2021-10-31,59,12,49,0,8
2021-11-07,55,15,46,0,8
2021-11-14,53,20,44,0,6
2021-11-21,56,17,43,0,6
2021-11-28,58,36,43,0,6
2021-12-05,55,18,40,2,7
2021-12-12,62,16,62,0,6
2021-12-19,72,17,60,0,8
2021-12-26,86,16,64,0,9
2022-01-02,86,17,49,1,8
2022-01-09,73,16,41,0,8
2022-01-16,66,17,42,1,7
2022-01-23,64,20,43,1,8
2022-01-30,64,22,49,1,8
2022-02-06,60,19,52,1,8
2022-02-13,63,18,62,1,10
2022-02-20,60,16,57,1,8
2022-02-27,53,19,47,1,8
2022-03-06,58,41,46,1,8
2022-03-13,57,17,37,1,9
2022-03-20,58,18,33,1,8
2022-03-27,57,18,39,1,8
2022-04-03,58,17,48,1,8
2022-04-10,63,18,54,1,9
2022-04-17,75,17,41,1,10
2022-04-24,61,18,38,1,8
2022-05-01,59,18,53,1,8
2022-05-08,52,18,38,1,7
2022-05-15,56,18,41,1,7
2022-05-22,54,18,47,1,8
2022-05-29,57,18,65,1,8
2022-06-05,51,26,53,1,7
2022-06-12,53,18,47,2,6
2022-06-19,51,18,47,2,6
2022-06-26,56,20,57,2,6
2022-07-03,51,18,55,2,7
2022-07-10,57,19,43,1,7
2022-07-17,62,18,51,1,7
2022-07-24,61,18,58,1,8
2022-07-31,61,18,50,1,9
2022-08-07,56,18,42,2,8
2022-08-14,59,17,52,1,9
2022-08-21,59,19,46,2,9
2022-08-28,59,18,59,2,11
2022-09-04,56,18,36,1,9
2022-09-11,53,20,35,1,8
2022-09-18,65,18,40,1,9
2022-09-25,75,19,43,0,8
2022-10-02,62,18,45,0,8
2022-10-09,64,19,44,0,8
2022-10-16,67,20,52,0,9
2022-10-23,67,21,58,1,9
2022-10-30,65,21,43,1,9
2022-11-06,54,21,43,1,9
2022-11-13,54,20,41,1,7
2022-11-20,55,20,37,0,10
2022-11-27,63,47,37,0,8
2022-12-04,70,21,32,1,9
2022-12-11,71,21,42,1,9
2022-12-18,72,19,49,0,11
2022-12-25,85,19,62,0,11
2023-01-01,73,19,52,1,10
2023-01-08,62,20,49,1,10
2023-01-15,61,19,43,1,9
2023-01-22,58,20,43,1,8
2023-01-29,59,20,46,1,8
2023-02-05,56,20,45,1,8
2023-02-12,55,19,56,1,9
2023-02-19,58,19,46,1,9
2023-02-26,54,20,44,1,10
2023-03-05,61,19,43,1,8
2023-03-12,54,19,43,1,9
2023-03-19,55,20,41,1,8
2023-03-26,54,20,42,1,9
2023-04-02,59,18,55,1,9
2023-04-09,68,30,62,1,9
2023-04-16,62,23,35,1,8
2023-04-23,54,21,38,1,8
2023-04-30,53,20,41,1,8
2023-05-07,51,21,41,1,9
2023-05-14,50,20,33,1,8
2023-05-21,59,21,36,1,8
2023-05-28,58,20,51,1,9
2023-06-04,54,20,37,1,8
2023-06-11,49,20,35,2,7
2023-06-18,52,20,35,2,7
2023-06-25,52,19,42,2,7
2023-07-02,53,20,48,1,7
2023-07-09,54,19,55,2,8
2023-07-16,53,18,79,1,9
2023-07-23,54,22,100,1,9
2023-07-30,53,18,84,1,9
