date,GP appointment,NHS waiting times,mental health,A&E,prescription charges
2021-03-21,1,0,56,8,1
2021-03-28,1,0,48,8,1
2021-04-04,1,0,49,8,1
2021-04-11,1,0,53,9,1
2021-04-18,1,0,57,9,1
2021-04-25,1,0,60,9,1
2021-05-02,1,0,64,9,1
2021-05-09,2,1,100,10,1
2021-05-16,2,0,58,9,0
2021-05-23,2,0,56,10,1
2021-05-30,1,0,42,11,0
2021-06-06,2,1,54,11,1
2021-06-13,1,0,48,10,1
2021-06-20,1,1,47,11,1
2021-06-27,1,0,45,11,1
2021-07-04,2,1,45,10,1
2021-07-11,2,1,45,11,1
2021-07-18,1,1,43,12,1
2021-07-25,1,0,46,11,1
2021-08-01,1,0,44,11,0
2021-08-08,1,0,40,11,1
2021-08-15,1,1,42,10,1
2021-08-22,1,0,39,11,1
2021-08-29,1,1,41,11,1
2021-09-05,2,1,49,12,1
2021-09-12,2,0,49,11,1
2021-09-19,2,0,52,11,1
2021-09-26,2,1,54,10,1
2021-10-03,2,1,70,11,1
2021-10-10,2,1,80,11,1
2021-10-17,2,0,52,11,1
2021-10-24,2,0,50,11,2
2021-10-31,1,0,58,11,1
2021-11-07,1,1,55,11,1
2021-11-14,2,0,58,11,1
2021-11-21,1,0,54,9,1
2021-11-28,1,0,50,10,1
2021-12-05,1,0,53,11,1
2021-12-12,1,0,46,9,1
2021-12-19,1,0,33,8,0
2021-12-26,1,0,30,10,1
2022-01-02,2,1,51,10,5
2022-01-09,1,1,61,9,3
2022-01-16,1,0,58,9,1
2022-01-23,1,0,62,11,1
2022-01-30,1,1,64,10,1
2022-02-06,2,1,73,11,1
2022-02-13,2,1,59,10,1
2022-02-20,1,1,59,11,1
2022-02-27,2,1,61,10,1
2022-03-06,2,1,62,11,1
2022-03-13,2,1,61,11,1
2022-03-20,2,1,56,11,2
2022-03-27,1,1,58,11,2
2022-04-03,1,1,57,10,1
2022-04-10,1,1,48,11,1
2022-04-17,2,1,52,11,1
2022-04-24,2,1,64,10,1
2022-05-01,2,1,65,10,1
2022-05-08,2,1,85,10,1
2022-05-15,2,1,62,10,1
2022-05-22,1,1,53,11,1
2022-05-29,1,0,44,10,1
2022-06-05,2,1,55,11,1
2022-06-12,2,1,50,11,1
2022-06-19,1,1,51,11,1
2022-06-26,2,1,48,10,1
2022-07-03,2,1,48,11,1
2022-07-10,2,1,47,12,1
2022-07-17,1,1,45,12,1
2022-07-24,1,1,47,11,1
2022-07-31,1,1,44,11,1
2022-08-07,2,1,46,11,1
2022-08-14,1,1,44,11,1
2022-08-21,1,1,47,11,1
2022-08-28,1,1,42,10,1
2022-09-04,1,1,48,10,1
2022-09-11,1,1,51,10,1
2022-09-18,2,1,50,11,1
2022-09-25,2,0,59,10,1
2022-10-02,2,1,67,11,1
2022-10-09,2,1,91,11,1
2022-10-16,2,1,59,10,1
2022-10-23,2,1,52,11,1
2022-10-30,2,1,54,10,1
2022-11-06,2,1,59,11,1
2022-11-13,2,1,59,10,1
2022-11-20,2,1,51,10,1
2022-11-27,2,1,53,11,1
2022-12-04,2,1,53,13,1
2022-12-11,2,1,48,13,1
2022-12-18,2,1,40,14,1
2022-12-25,2,1,32,13,0
2023-01-01,2,1,51,19,1
2023-01-08,2,1,58,14,1
2023-01-15,2,1,59,11,1
2023-01-22,2,1,60,11,1
2023-01-29,2,1,64,11,1
2023-02-05,2,1,70,11,1
2023-02-12,2,1,52,10,1
2023-02-19,2,1,58,13,1
2023-02-26,2,1,61,12,1
2023-03-05,2,1,59,11,3
2023-03-12,2,1,59,10,2
2023-03-19,2,1,58,11,1
2023-03-26,2,1,55,10,2
2023-04-02,2,1,47,10,1
2023-04-09,2,1,47,10,1
2023-04-16,2,1,54,11,1
2023-04-23,2,1,60,10,1
2023-04-30,2,1,57,9,1
2023-05-07,2,1,59,10,1
2023-05-14,2,1,86,10,1
2023-05-21,2,1,58,11,1
2023-05-28,2,1,47,10,1
2023-06-04,2,1,55,10,1
2023-06-11,2,1,55,11,1
2023-06-18,2,1,51,10,1
2023-06-25,2,1,50,10,1
2023-07-02,2,1,50,11,1
2023-07-09,2,1,53,10,0
2023-07-16,2,1,47,10,1
2023-07-23,2,1,46,9,1
2023-07-30,1,1,44,9,1
2023-08-06,2,1,45,10,1
2023-08-13,2,1,45,11,1
2023-08-20,1,1,44,10,1
2023-08-27,2,1,43,10,1
2023-09-03,2,1,49,10,0
2023-09-10,2,1,55,11,0
2023-09-17,2,1,56,9,1
2023-09-24,2,1,57,10,0
2023-10-01,2,1,62,10,1
2023-10-08,2,1,99,11,1
2023-10-15,2,1,57,10,1
2023-10-22,2,1,52,10,1
2023-10-29,2,1,53,10,1
2023-11-05,2,1,57,10,1
2023-11-12,2,1,56,10,1
2023-11-19,2,1,55,10,1
2023-11-26,2,1,53,9,1
2023-12-03,2,1,53,10,0
2023-12-10,2,1,52,10,1
2023-12-17,2,1,44,11,0
2023-12-24,1,1,28,10,0
2023-12-31,2,1,45,11,1
2024-01-07,2,1,56,10,1
2024-01-14,2,1,57,10,1
2024-01-21,2,1,61,11,1
2024-01-28,2,1,61,11,1
2024-02-04,2,1,66,12,1
2024-02-11,2,1,54,12,1
2024-02-18,2,1,58,11,0
2024-02-25,2,1,60,11,1
2024-03-03,2,1,55,11,1
2024-03-10,2,1,59,11,1
2024-03-17,2,1,59,11,1
2024-03-24,2,1,48,11,1
2024-03-31,2,1,45,13,1
2024-04-07,2,1,51,11,1
2024-04-14,2,1,59,10,1
2024-04-21,2,1,62,10,1
2024-04-28,2,1,63,11,1
2024-05-05,2,1,60,11,1
2024-05-12,2,1,77,11,1
2024-05-19,2,1,59,11,0
2024-05-26,2,1,45,11,0
2024-06-02,2,1,60,11,1
2024-06-09,2,1,53,11,1
2024-06-16,2,1,48,11,1
2024-06-23,2,1,48,12,0
2024-06-30,2,1,45,10,1
2024-07-07,2,1,48,10,0
2024-07-14,2,1,46,11,0
2024-07-21,2,1,47,11,1
2024-07-28,2,1,44,10,1
2024-08-04,2,1,44,10,0
2024-08-11,2,1,47,10,0
2024-08-18,2,1,43,10,1
2024-08-25,2,1,42,10,0
