date,job vacancies,Universal Credit,minimum wage,redundancy,work from home
2021-03-21,2,68,8,2,2
2021-03-28,1,65,10,2,2
2021-04-04,2,69,9,1,2
2021-04-11,2,79,9,2,2
2021-04-18,2,79,10,2,2
2021-04-25,2,77,10,2,2
2021-05-02,2,63,8,1,1
2021-05-09,2,67,8,2,2
2021-05-16,2,66,8,1,2
2021-05-23,2,67,9,2,1
2021-05-30,2,63,8,1,1
2021-06-06,2,71,9,1,2
2021-06-13,2,67,7,1,2
2021-06-20,2,68,8,1,2
2021-06-27,2,69,7,1,2
2021-07-04,2,70,7,1,2
2021-07-11,2,68,6,1,2
2021-07-18,2,65,6,1,2
2021-07-25,2,68,7,1,2
2021-08-01,2,69,7,1,2
2021-08-08,2,65,6,1,2
2021-08-15,2,90,7,1,2
2021-08-22,2,81,7,1,2
2021-08-29,2,66,6,1,2
2021-09-05,2,84,6,1,2
2021-09-12,2,91,7,1,2
2021-09-19,2,72,7,1,2
2021-09-26,2,72,9,1,2
2021-10-03,2,74,9,1,2
2021-10-10,2,70,6,1,2
2021-10-17,2,67,6,1,2
2021-10-24,2,69,17,1,2
2021-10-31,2,68,7,1,2
2021-11-07,2,68,6,1,2
2021-11-14,2,65,7,1,2
2021-11-21,1,67,6,1,2
2021-11-28,1,71,5,1,2
2021-12-05,1,68,5,1,5
2021-12-12,1,65,5,1,2
2021-12-19,1,57,4,1,2
2021-12-26,1,38,3,0,2
2022-01-02,2,54,6,1,3
2022-01-09,2,58,7,1,3
2022-01-16,2,57,7,1,4
2022-01-23,2,55,7,1,3
2022-01-30,2,66,8,2,3
2022-02-06,2,66,8,1,3
2022-02-13,2,55,7,1,2
2022-02-20,2,60,7,1,2
2022-02-27,2,58,8,1,2
2022-03-06,2,62,8,1,2
2022-03-13,2,55,8,2,2
2022-03-20,2,61,10,1,2
2022-03-27,2,58,12,1,2
2022-04-03,2,76,11,1,2
2022-04-10,2,63,8,1,2
2022-04-17,2,56,8,1,2
2022-04-24,2,63,9,1,2
2022-05-01,2,58,7,1,2
2022-05-08,2,62,6,1,2
2022-05-15,2,62,7,1,2
2022-05-22,2,69,7,1,2
2022-05-29,2,55,6,1,2
2022-06-05,2,71,6,1,2
2022-06-12,2,68,6,1,2
2022-06-19,2,65,7,1,2
2022-06-26,2,71,7,1,2
2022-07-03,2,81,6,1,2
2022-07-10,2,100,6,1,2
2022-07-17,2,77,6,1,2
2022-07-24,2,67,7,1,2
2022-07-31,2,68,6,1,2
2022-08-07,2,67,5,1,2
2022-08-14,2,59,6,2,2
2022-08-21,2,63,8,1,2
2022-08-28,2,62,6,1,2
2022-09-04,2,69,6,1,2
2022-09-11,2,72,6,1,2
2022-09-18,2,70,8,1,2
2022-09-25,2,72,7,1,2
2022-10-02,2,69,6,2,2
2022-10-09,2,68,6,2,2
2022-10-16,2,68,5,2,2
2022-10-23,2,64,6,2,2
2022-10-30,2,65,6,2,2
2022-11-06,2,71,5,2,2
2022-11-13,2,63,12,2,2
2022-11-20,1,62,7,2,2
2022-11-27,1,65,5,2,2
2022-12-04,1,64,5,1,2
2022-12-11,1,69,5,1,2
2022-12-18,1,65,4,1,1
2022-12-25,1,43,4,1,2
2023-01-01,2,60,7,1,2
2023-01-08,2,65,7,2,2
2023-01-15,2,66,7,2,2
2023-01-22,2,66,8,2,2
2023-01-29,2,63,8,2,2
2023-02-05,2,65,7,2,2
2023-02-12,2,61,7,2,2
2023-02-19,2,67,9,2,2
2023-02-26,2,70,9,2,2
2023-03-05,2,67,9,2,2
2023-03-12,2,67,10,2,2
2023-03-19,2,69,11,2,2
2023-03-26,2,71,14,2,2
2023-04-02,2,80,15,2,2
2023-04-09,2,78,11,1,2
2023-04-16,2,73,11,2,2
2023-04-23,2,76,10,2,2
2023-04-30,2,65,8,2,2
2023-05-07,2,64,7,2,2
2023-05-14,2,66,7,2,2
2023-05-21,2,66,8,2,2
2023-05-28,2,61,7,1,2
2023-06-04,2,68,6,2,2
2023-06-11,2,64,7,2,2
2023-06-18,2,64,7,2,2
2023-06-25,2,66,8,2,2
2023-07-02,2,66,7,2,2
2023-07-09,2,58,6,2,2
2023-07-16,2,59,7,2,2
2023-07-23,2,57,6,2,2
2023-07-30,2,58,6,2,2
2023-08-06,2,61,5,2,2
2023-08-13,2,65,6,2,2
2023-08-20,2,63,6,1,2
2023-08-27,2,58,6,1,2
2023-09-03,2,65,6,2,2
2023-09-10,2,71,6,2,2
2023-09-17,2,68,6,2,2
2023-09-24,2,64,7,2,2
2023-10-01,2,66,9,2,2
2023-10-08,2,63,6,2,2
2023-10-15,2,63,6,2,2
2023-10-22,2,66,8,2,2
2023-10-29,2,62,6,2,2
2023-11-05,2,62,6,2,2
2023-11-12,2,63,6,2,2
2023-11-19,2,65,15,2,2
2023-11-26,2,63,8,2,2
2023-12-03,2,69,7,2,2
2023-12-10,2,67,7,2,2
2023-12-17,1,62,6,1,1
2023-12-24,1,39,5,1,1
2023-12-31,2,56,8,1,2
2024-01-07,2,66,9,2,2
2024-01-14,2,62,9,2,2
2024-01-21,2,56,9,3,2
2024-01-28,2,47,9,3,2
2024-02-04,2,48,8,2,2
2024-02-11,2,43,8,2,2
2024-02-18,2,47,9,2,2
2024-02-25,2,48,10,3,2
2024-03-03,2,48,10,2,2
2024-03-10,2,47,10,2,2
2024-03-17,2,46,11,2,2
2024-03-24,2,44,13,2,2
2024-03-31,2,58,18,2,2
2024-04-07,2,54,13,2,2
2024-04-14,2,51,11,2,2
2024-04-21,2,51,10,2,2
2024-04-28,2,49,9,2,2
2024-05-05,2,44,6,2,2
2024-05-12,2,49,7,2,2
2024-05-19,2,50,7,2,2
2024-05-26,2,43,7,2,2
2024-06-02,2,51,7,2,2
2024-06-09,2,45,6,2,2
2024-06-16,2,47,7,2,2
2024-06-23,2,44,7,2,2
2024-06-30,2,49,7,2,2
2024-07-07,2,48,7,2,2
2024-07-14,2,45,8,2,2
2024-07-21,2,48,8,2,2
2024-07-28,2,48,9,2,2
2024-08-04,2,46,6,2,2
2024-08-11,2,46,6,2,2
2024-08-18,2,48,6,2,2
2024-08-25,2,43,6,2,2
2024-09-01,2,49,6,2,2
2024-09-08,2,52,7,2,2
2024-09-15,2,49,7,2,2
2024-09-22,2,46,7,2,2
2024-09-29,2,52,7,2,2
2024-10-06,2,48,6,2,2
2024-10-13,2,48,6,2,2
2024-10-20,2,46,7,2,2
2024-10-27,2,46,21,2,2
2024-11-03,2,47,9,2,2
2024-11-10,2,49,8,2,2
2024-11-17,2,42,7,2,2
2024-11-24,1,46,6,2,2
2024-12-01,1,45,6,2,2
