date,Premier League,Six Nations,The Ashes,Wimbledon,Formula 1
2021-03-21,13,7,0,1,2
2021-03-28,16,1,0,2,3
2021-04-04,32,0,0,2,1
2021-04-11,30,0,0,2,2
2021-04-18,40,0,0,2,2
2021-04-25,26,0,0,2,1
2021-05-02,33,0,0,2,2
2021-05-09,44,0,0,2,2
2021-05-16,40,0,0,3,1
2021-05-23,25,0,0,3,2
2021-05-30,5,0,0,3,1
2021-06-06,4,0,0,4,2
2021-06-13,5,0,0,7,1
2021-06-20,3,0,0,8,2
2021-06-27,4,0,0,58,2
2021-07-04,3,0,0,59,2
2021-07-11,5,0,0,20,1
2021-07-18,9,0,0,3,2
2021-07-25,6,0,0,3,1
2021-08-01,8,0,0,3,2
2021-08-08,29,0,0,3,1
2021-08-15,29,0,0,3,1
2021-08-22,37,0,0,3,1
2021-08-29,22,0,0,3,3
2021-09-05,22,0,0,4,2
2021-09-12,31,0,0,4,2
2021-09-19,34,0,0,4,1
2021-09-26,29,0,0,3,2
2021-10-03,19,0,0,2,1
2021-10-10,19,0,0,2,1
2021-10-17,30,0,0,3,1
2021-10-24,36,0,0,2,2
2021-10-31,31,0,0,3,1
2021-11-07,21,0,0,2,2
2021-11-14,19,0,0,2,3
2021-11-21,25,1,0,2,2
2021-11-28,48,0,0,2,2
2021-12-05,36,0,2,2,5
2021-12-12,39,0,1,2,7
2021-12-19,23,0,1,2,1
2021-12-26,51,0,1,2,1
2022-01-02,24,1,1,2,1
2022-01-09,23,1,1,3,1
2022-01-16,32,2,0,3,1
2022-01-23,20,3,0,3,1
2022-01-30,12,14,0,3,1
2022-02-06,32,13,0,3,1
2022-02-13,31,7,0,3,1
2022-02-20,37,9,0,2,1
2022-02-27,27,6,0,2,1
2022-03-06,35,10,0,2,1
2022-03-13,37,12,0,2,3
2022-03-20,14,3,0,3,4
2022-03-27,17,1,0,3,3
2022-04-03,35,1,0,3,2
2022-04-10,31,0,0,3,2
2022-04-17,44,0,0,3,2
2022-04-24,38,1,0,3,2
2022-05-01,39,0,0,3,2
2022-05-08,47,0,0,3,2
2022-05-15,54,0,0,3,1
2022-05-22,36,0,0,3,2
2022-05-29,7,0,0,4,2
2022-06-05,5,0,0,5,1
2022-06-12,8,0,0,6,2
2022-06-19,5,0,0,9,2
2022-06-26,5,0,0,73,2
2022-07-03,10,0,0,100,4
2022-07-10,6,0,0,30,2
2022-07-17,7,0,0,3,1
2022-07-24,9,0,0,3,2
2022-07-31,32,0,0,2,2
2022-08-07,36,0,0,3,1
2022-08-14,37,0,0,3,1
2022-08-21,48,0,0,3,1
2022-08-28,59,0,0,3,2
2022-09-04,27,0,0,3,2
2022-09-11,20,0,0,3,2
2022-09-18,17,0,0,3,1
2022-09-25,18,0,0,3,1
2022-10-02,31,0,0,2,2
2022-10-09,35,0,0,2,2
2022-10-16,49,0,0,3,1
2022-10-23,36,0,0,3,2
2022-10-30,29,0,0,3,1
2022-11-06,37,0,0,3,1
2022-11-13,15,0,0,3,2
2022-11-20,5,0,0,2,1
2022-11-27,4,0,0,2,1
2022-12-04,4,0,0,2,1
2022-12-11,4,0,0,2,1
2022-12-18,8,0,0,2,1
2022-12-25,53,0,0,2,1
2023-01-01,43,1,0,2,1
2023-01-08,29,1,0,3,1
2023-01-15,42,2,0,3,1
2023-01-22,30,2,0,3,1
2023-01-29,27,13,0,3,1
2023-02-05,38,13,0,3,1
2023-02-12,45,7,0,2,1
2023-02-19,36,9,0,3,1
2023-02-26,35,7,0,3,2
2023-03-05,38,9,0,3,2
2023-03-12,35,14,0,3,1
2023-03-19,17,3,0,2,2
2023-03-26,20,1,0,3,1
2023-04-02,51,1,0,2,1
2023-04-09,37,1,0,3,1
2023-04-16,45,1,0,3,1
2023-04-23,62,1,0,3,1
2023-04-30,63,0,0,3,2
2023-05-07,52,0,0,3,1
2023-05-14,57,0,0,3,1
2023-05-21,46,0,0,3,1
2023-05-28,31,0,0,4,2
2023-06-04,7,0,1,4,1
